age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,poutcome,nr.employed,Subscribed
41,admin.,married,university.degree,no,no,telephone,nov,tue,234,2,3,success,5017.5,yes
33,admin.,married,university.degree,yes,no,cellular,nov,tue,318,2,3,success,5017.5,yes
38,admin.,married,university.degree,yes,no,cellular,nov,tue,64,1,3,success,5017.5,yes
41,admin.,married,university.degree,yes,no,cellular,nov,tue,95,1,3,success,5017.5,yes
52,admin.,divorced,university.degree,yes,no,cellular,nov,tue,89,1,3,success,5017.5,yes
33,admin.,married,university.degree,yes,no,cellular,nov,tue,344,2,3,success,5017.5,yes
30,admin.,single,university.degree,no,no,cellular,nov,tue,266,2,999,failure,5017.5,yes
79,retired,married,basic.4y,no,yes,cellular,nov,tue,301,2,3,success,5017.5,yes
28,admin.,married,high.school,yes,no,cellular,nov,tue,254,5,999,nonexistent,5017.5,yes
54,technician,married,basic.9y,no,no,cellular,nov,tue,293,3,7,failure,5017.5,yes
79,retired,married,basic.4y,yes,no,cellular,nov,tue,594,1,3,success,5017.5,yes
52,admin.,divorced,university.degree,no,no,cellular,nov,tue,213,1,999,nonexistent,5017.5,yes
63,management,married,basic.4y,yes,no,cellular,nov,tue,131,4,999,failure,5017.5,yes
37,services,married,high.school,no,no,cellular,nov,wed,459,2,999,failure,5017.5,yes
72,retired,married,basic.4y,yes,no,cellular,nov,wed,406,1,999,failure,5017.5,yes
20,student,single,high.school,yes,no,cellular,nov,wed,166,1,7,success,5017.5,yes
28,management,married,university.degree,no,no,cellular,nov,wed,69,3,999,nonexistent,5017.5,yes
72,retired,divorced,basic.6y,yes,no,cellular,nov,wed,199,1,999,nonexistent,5017.5,yes
20,student,single,high.school,no,no,cellular,nov,wed,131,1,999,failure,5017.5,yes
20,student,single,high.school,no,no,cellular,nov,wed,229,2,3,success,5017.5,yes
36,management,married,university.degree,no,yes,cellular,nov,wed,166,3,3,success,5017.5,yes
72,retired,divorced,basic.6y,yes,no,cellular,nov,wed,244,2,999,nonexistent,5017.5,yes
29,admin.,single,university.degree,no,yes,cellular,nov,wed,158,1,3,success,5017.5,yes
23,student,single,university.degree,yes,no,cellular,nov,wed,172,1,3,success,5017.5,yes
33,admin.,married,university.degree,yes,no,telephone,nov,wed,241,1,3,success,5017.5,yes
53,housemaid,married,basic.4y,no,yes,telephone,nov,wed,513,1,3,success,5017.5,yes
38,admin.,married,university.degree,no,no,telephone,nov,thu,71,1,13,success,5017.5,yes
40,services,married,high.school,yes,no,cellular,nov,thu,90,3,3,success,5017.5,yes
29,student,single,professional.course,no,no,cellular,nov,thu,227,3,3,success,5017.5,yes
29,student,single,professional.course,yes,yes,cellular,nov,thu,123,1,7,success,5017.5,yes
65,retired,single,university.degree,no,no,cellular,nov,thu,253,1,999,failure,5017.5,yes
43,management,married,high.school,no,no,cellular,nov,thu,226,1,999,nonexistent,5017.5,yes
25,admin.,married,unknown,no,no,cellular,nov,thu,241,1,999,nonexistent,5017.5,yes
25,admin.,married,unknown,no,no,cellular,nov,thu,110,1,999,failure,5017.5,yes
65,retired,single,university.degree,no,no,cellular,nov,thu,88,2,3,success,5017.5,yes
29,admin.,single,university.degree,no,no,cellular,nov,thu,134,2,9,failure,5017.5,yes
38,admin.,married,university.degree,no,no,cellular,nov,thu,126,1,7,failure,5017.5,yes
67,retired,married,basic.4y,yes,no,cellular,nov,thu,99,1,999,nonexistent,5017.5,yes
51,self-employed,single,basic.9y,yes,no,cellular,nov,thu,104,1,999,nonexistent,5017.5,yes
49,unemployed,married,professional.course,yes,no,telephone,nov,thu,226,1,999,nonexistent,5017.5,yes
34,admin.,single,university.degree,yes,no,cellular,nov,thu,89,1,3,success,5017.5,yes
34,admin.,single,university.degree,no,no,cellular,nov,thu,169,1,7,success,5017.5,yes
34,admin.,single,university.degree,no,no,cellular,nov,thu,135,1,6,success,5017.5,yes
56,blue-collar,divorced,basic.4y,no,no,cellular,nov,thu,134,1,999,nonexistent,5017.5,yes
32,self-employed,married,university.degree,yes,no,cellular,nov,thu,247,1,6,failure,5017.5,yes
66,retired,married,basic.4y,yes,yes,telephone,nov,thu,1127,1,999,nonexistent,5017.5,yes
56,management,divorced,unknown,yes,no,cellular,nov,thu,893,7,999,nonexistent,5017.5,yes
35,technician,single,professional.course,yes,no,cellular,nov,thu,192,2,999,failure,5017.5,yes
32,self-employed,married,university.degree,no,no,cellular,nov,thu,707,2,3,success,5017.5,yes
60,unemployed,married,basic.4y,no,no,cellular,nov,thu,627,2,6,success,5017.5,yes
38,admin.,married,university.degree,no,no,telephone,nov,thu,411,4,999,nonexistent,5017.5,yes
29,admin.,single,high.school,yes,no,cellular,nov,fri,176,2,7,success,5017.5,yes
26,admin.,married,high.school,yes,no,cellular,nov,fri,338,1,7,success,5017.5,yes
26,student,single,university.degree,no,no,cellular,nov,fri,181,1,7,success,5017.5,yes
26,blue-collar,single,high.school,yes,no,telephone,nov,fri,208,2,3,success,5017.5,yes
29,admin.,single,university.degree,no,no,cellular,nov,fri,122,1,3,success,5017.5,yes
32,admin.,single,university.degree,yes,no,telephone,nov,fri,2184,2,999,failure,5017.5,yes
32,admin.,single,university.degree,yes,no,telephone,nov,fri,135,1,999,nonexistent,5017.5,yes
53,admin.,single,university.degree,yes,yes,telephone,nov,fri,212,3,999,failure,5017.5,yes
80,retired,divorced,unknown,yes,yes,cellular,nov,fri,186,2,3,success,5017.5,yes
31,technician,married,unknown,no,no,cellular,nov,fri,498,1,999,failure,5017.5,yes
65,retired,married,university.degree,no,no,cellular,nov,fri,226,1,3,success,5017.5,yes
29,technician,married,university.degree,yes,no,cellular,nov,fri,210,1,3,success,5017.5,yes
52,technician,married,professional.course,yes,no,cellular,nov,fri,495,1,3,success,5017.5,yes
52,technician,married,professional.course,yes,no,cellular,nov,fri,259,1,999,failure,5017.5,yes
39,management,single,university.degree,yes,no,cellular,nov,fri,239,2,3,success,5017.5,yes
77,retired,married,unknown,yes,no,cellular,nov,fri,381,1,999,nonexistent,5017.5,yes
77,retired,married,unknown,yes,no,cellular,nov,fri,193,1,3,success,5017.5,yes
31,services,married,high.school,no,no,telephone,nov,fri,271,2,3,success,5017.5,yes
41,management,married,unknown,no,yes,cellular,nov,fri,129,2,3,success,5017.5,yes
55,blue-collar,married,basic.4y,no,no,cellular,nov,fri,227,2,999,nonexistent,5017.5,yes
78,retired,divorced,basic.4y,yes,no,cellular,nov,fri,182,2,3,success,5017.5,yes
18,student,single,high.school,no,no,cellular,nov,fri,256,2,7,failure,5017.5,yes
40,technician,single,university.degree,no,no,cellular,nov,mon,130,1,7,failure,5017.5,yes
25,admin.,single,university.degree,no,yes,cellular,nov,mon,295,1,7,success,5017.5,yes
61,retired,married,basic.4y,yes,no,cellular,nov,mon,301,1,9,failure,5017.5,yes
64,retired,married,high.school,no,no,cellular,nov,mon,146,1,3,success,5017.5,yes
67,retired,married,basic.4y,no,no,telephone,nov,mon,167,1,999,nonexistent,5017.5,yes
50,admin.,married,university.degree,yes,no,cellular,nov,mon,183,1,3,success,5017.5,yes
30,blue-collar,single,high.school,unknown,unknown,cellular,nov,mon,235,5,999,nonexistent,5017.5,yes
26,admin.,married,high.school,yes,no,cellular,nov,mon,432,5,999,nonexistent,5017.5,yes
30,blue-collar,single,high.school,no,no,cellular,nov,mon,250,1,999,nonexistent,5017.5,yes
66,retired,married,basic.4y,yes,no,cellular,nov,mon,175,1,7,success,5017.5,yes
19,student,single,unknown,yes,no,cellular,nov,mon,380,1,999,failure,5017.5,yes
25,admin.,single,unknown,yes,no,cellular,nov,mon,381,1,999,failure,5017.5,yes
72,retired,married,high.school,no,no,cellular,nov,mon,257,1,999,nonexistent,5017.5,yes
77,retired,divorced,basic.4y,yes,no,cellular,nov,mon,445,2,999,failure,5017.5,yes
40,technician,single,university.degree,no,no,cellular,nov,mon,105,2,3,success,5017.5,yes
40,technician,single,university.degree,no,no,cellular,nov,mon,984,5,999,nonexistent,5017.5,yes
68,retired,married,high.school,no,no,cellular,nov,mon,1248,2,999,failure,5017.5,yes
34,self-employed,single,university.degree,no,yes,telephone,nov,tue,85,1,999,nonexistent,5017.5,yes
47,management,married,basic.9y,yes,no,cellular,nov,tue,709,2,999,nonexistent,5017.5,yes
35,management,married,university.degree,yes,no,cellular,nov,tue,209,1,999,failure,5017.5,yes
82,retired,divorced,basic.4y,yes,no,cellular,nov,tue,134,2,3,success,5017.5,yes
48,management,married,university.degree,yes,yes,cellular,nov,tue,747,2,999,nonexistent,5017.5,yes
53,admin.,married,university.degree,yes,no,cellular,nov,tue,409,2,999,nonexistent,5017.5,yes
43,admin.,married,university.degree,yes,no,telephone,nov,tue,135,1,999,nonexistent,5017.5,yes
34,housemaid,single,basic.4y,yes,no,cellular,nov,tue,393,4,999,nonexistent,5017.5,yes
43,admin.,married,university.degree,yes,no,cellular,nov,tue,255,1,999,nonexistent,5017.5,yes
26,admin.,single,university.degree,yes,no,cellular,nov,tue,309,3,7,success,5017.5,yes
66,retired,single,basic.4y,yes,no,cellular,nov,tue,525,3,999,nonexistent,5017.5,yes
83,retired,divorced,basic.4y,no,no,cellular,nov,tue,242,1,3,success,5017.5,yes
27,management,single,professional.course,yes,no,cellular,nov,tue,325,1,3,success,5017.5,yes
56,retired,married,university.degree,yes,no,cellular,nov,wed,968,2,3,success,5017.5,yes
24,student,single,unknown,yes,no,cellular,nov,wed,285,2,3,success,5017.5,yes
31,technician,single,university.degree,no,no,cellular,nov,wed,372,1,999,nonexistent,5017.5,yes
57,admin.,married,university.degree,no,no,cellular,nov,wed,182,1,3,success,5017.5,yes
61,retired,married,basic.4y,yes,no,cellular,nov,wed,234,1,999,nonexistent,5017.5,yes
58,retired,married,basic.4y,yes,no,cellular,nov,wed,487,1,999,failure,5017.5,yes
56,retired,married,university.degree,no,no,cellular,nov,wed,232,1,3,success,5017.5,yes
48,management,divorced,university.degree,yes,no,cellular,nov,wed,208,1,3,success,5017.5,yes
56,housemaid,divorced,basic.4y,yes,no,cellular,nov,wed,414,1,999,failure,5017.5,yes
28,technician,single,professional.course,yes,no,cellular,nov,wed,296,1,999,failure,5017.5,yes
27,technician,single,university.degree,no,yes,cellular,nov,wed,342,1,999,nonexistent,5017.5,yes
28,technician,single,professional.course,yes,no,cellular,nov,wed,238,2,6,success,5017.5,yes
25,technician,single,professional.course,yes,no,cellular,nov,wed,541,1,999,nonexistent,5017.5,yes
78,retired,married,professional.course,no,no,cellular,nov,fri,319,2,999,failure,5017.5,yes
73,retired,married,university.degree,no,no,cellular,nov,fri,160,1,999,nonexistent,5017.5,yes
44,admin.,divorced,high.school,yes,no,telephone,nov,mon,1628,2,6,success,5017.5,yes
60,admin.,married,unknown,yes,no,cellular,dec,wed,357,1,999,nonexistent,5023.5,yes
38,technician,married,university.degree,yes,yes,cellular,dec,wed,310,1,999,nonexistent,5023.5,yes
54,unemployed,married,high.school,yes,no,cellular,dec,wed,346,1,999,nonexistent,5023.5,yes
38,technician,married,university.degree,no,no,cellular,dec,wed,415,1,999,failure,5023.5,yes
30,technician,married,university.degree,yes,no,cellular,dec,thu,244,2,6,success,5023.5,yes
55,technician,married,high.school,yes,no,cellular,dec,thu,284,1,999,failure,5023.5,yes
58,unknown,married,basic.9y,yes,no,cellular,dec,thu,154,1,999,failure,5023.5,yes
83,retired,married,high.school,no,no,cellular,dec,thu,155,1,4,success,5023.5,yes
60,retired,married,high.school,no,no,cellular,dec,thu,472,1,999,nonexistent,5023.5,yes
48,admin.,married,high.school,no,yes,cellular,dec,thu,274,1,8,success,5023.5,yes
50,admin.,single,high.school,yes,no,telephone,dec,fri,705,2,999,nonexistent,5023.5,yes
60,retired,married,university.degree,no,no,cellular,dec,fri,439,3,6,success,5023.5,yes
46,admin.,married,university.degree,unknown,unknown,cellular,dec,fri,696,10,999,nonexistent,5023.5,yes
50,technician,married,high.school,yes,no,cellular,dec,mon,229,1,999,failure,5023.5,yes
36,admin.,single,high.school,unknown,unknown,cellular,dec,mon,480,1,999,failure,5023.5,yes
54,blue-collar,married,high.school,no,no,cellular,dec,mon,344,1,999,nonexistent,5023.5,yes
43,admin.,married,high.school,no,yes,cellular,dec,mon,415,2,8,failure,5023.5,yes
49,housemaid,single,university.degree,yes,no,cellular,dec,mon,583,2,6,success,5023.5,yes
50,technician,married,high.school,no,no,cellular,dec,mon,620,3,999,nonexistent,5023.5,yes
38,technician,single,university.degree,yes,no,cellular,dec,mon,329,2,999,nonexistent,5023.5,yes
54,admin.,divorced,university.degree,no,no,cellular,dec,wed,288,7,6,success,5023.5,yes
42,services,married,university.degree,no,no,cellular,dec,wed,179,1,6,success,5023.5,yes
30,student,single,unknown,no,no,cellular,dec,wed,343,1,4,success,5023.5,yes
